"TABLE 2A.3","","","","","","","","","","","","","","TABLE 2A.3","","","","","","","","","","","","","","TABLE 2A.3","","","","","","","","","","","","","","TABLE 2A.3","","","","","","","","",""
"Victims of Murder (Gender & Age Group-wise) - 2020","","","","","","","","","","","","","","Victims of Murder (Gender & Age Group-wise) - 2020 (Continued)","","","","","","","","","","","","","","Victims of Murder (Gender & Age Group-wise) - 2020 (Continued)","","","","","","","","","","","","","","Victims of Murder (Gender & Age Group-wise) - 2020 (Concluded)","","","","","","","","",""
"SL","State/UT","Child Victims","","","","","","","","","","","","SL","State/UT","Child Victims","","","","","","","","Adult Victims","","","","SL","State/UT","Adult Victims","","","","","","","","","","","","SL","State/UT","Adult Victims","","","","Total Victims (Child + Adult)","","",""
"","","Below 6 Years","","","","6 Years to 12 Years","","","","12 Years to 16 Years","","","","","","16 Years to 18 Years","","","","Total Child Victims","","","","18 Years to 30 Years","","","","","","30 Years to 45 Years","","","","45 Years to 60 Years","","","","60 Years & above","","","","","","Total Adult Victims","","","","","","",""
"","","M","F","Trans","Total","M","F","Trans","Total","M","F","Trans","Total","","","M","F","Trans","Total","M","F","Trans","Total","M","F","Trans","Total","","","M","F","Trans","Total","M","F","Trans","Total","M","F","Trans","Total","","","M","F","Trans","Total","M","F","Trans","Total"
"[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[1]","[2]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[1]","[2]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[1]","[2]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]"
"STATES:","","","","","","","","","","","","","","STATES:","","","","","","","","","","","","","","STATES:","","","","","","","","","","","","","","STATES:","","","","","","","","",""
"1","Andhra Pradesh","3","10","0","13","4","7","0","11","3","4","0","7","1","Andhra Pradesh","4","4","0","8","14","25","0","39","148","92","0","240","1","Andhra Pradesh","243","106","0","349","142","65","0","207","34","19","0","53","1","Andhra Pradesh","567","282","0","849","581","307","0","888"
"2","Arunachal Pradesh","0","1","0","1","0","1","0","1","1","0","0","1","2","Arunachal Pradesh","0","0","0","0","1","2","0","3","13","5","0","18","2","Arunachal Pradesh","16","4","0","20","6","2","0","8","0","0","0","0","2","Arunachal Pradesh","35","11","0","46","36","13","0","49"
"3","Assam","1","1","0","2","6","4","0","10","5","9","0","14","3","Assam","0","4","0","4","12","18","0","30","316","83","0","399","3","Assam","497","81","0","578","124","8","0","132","0","0","0","0","3","Assam","937","172","0","1109","949","190","0","1139"
"4","Bihar","3","4","0","7","23","3","0","26","26","15","0","41","4","Bihar","32","6","0","38","84","28","0","112","1042","308","0","1350","4","Bihar","1056","190","0","1246","372","63","0","435","39","13","0","52","4","Bihar","2509","574","0","3083","2593","602","0","3195"
"5","Chhattisgarh","18","10","0","28","7","12","0","19","9","6","0","15","5","Chhattisgarh","2","7","0","9","36","35","0","71","187","118","0","305","5","Chhattisgarh","279","114","0","393","129","59","1","189","39","27","0","66","5","Chhattisgarh","634","318","1","953","670","353","1","1024"
"6","Goa","1","0","0","1","1","0","0","1","0","0","0","0","6","Goa","0","1","0","1","2","1","0","3","12","4","0","16","6","Goa","9","1","0","10","4","2","0","6","1","1","0","2","6","Goa","26","8","0","34","28","9","0","37"
"7","Gujarat","22","15","0","37","12","17","0","29","4","3","0","7","7","Gujarat","7","5","0","12","45","40","0","85","278","57","0","335","7","Gujarat","297","104","2","403","105","34","0","139","36","25","0","61","7","Gujarat","716","220","2","938","761","260","2","1023"
"8","Haryana","11","12","0","23","6","9","0","15","6","3","0","9","8","Haryana","12","0","0","12","35","24","0","59","341","89","1","431","8","Haryana","347","91","0","438","162","29","0","191","38","8","0","46","8","Haryana","888","217","1","1106","923","241","1","1165"
"9","Himachal Pradesh","0","2","0","2","2","0","0","2","1","0","0","1","9","Himachal Pradesh","1","0","0","1","4","2","0","6","16","7","0","23","9","Himachal Pradesh","22","11","0","33","15","9","0","24","4","3","0","7","9","Himachal Pradesh","57","30","0","87","61","32","0","93"
"10","Jharkhand","8","7","0","15","4","5","0","9","2","6","0","8","10","Jharkhand","0","3","0","3","14","21","0","35","463","138","0","601","10","Jharkhand","637","148","0","785","175","38","0","213","0","0","0","0","10","Jharkhand","1275","324","0","1599","1289","345","0","1634"
"11","Karnataka","25","40","0","65","17","13","0","30","3","3","0","6","11","Karnataka","4","9","0","13","49","65","0","114","271","135","2","408","11","Karnataka","425","177","0","602","174","55","0","229","47","20","0","67","11","Karnataka","917","387","2","1306","966","452","2","1420"
"12","Kerala","10","11","0","21","5","0","0","5","3","1","0","4","12","Kerala","1","3","0","4","19","15","0","34","31","11","0","42","12","Kerala","75","19","0","94","73","20","0","93","43","17","0","60","12","Kerala","222","67","0","289","241","82","0","323"
"13","Madhya Pradesh","19","21","0","40","27","16","0","43","21","16","0","37","13","Madhya Pradesh","15","16","0","31","82","69","0","151","499","205","0","704","13","Madhya Pradesh","545","241","0","786","293","82","0","375","92","47","0","139","13","Madhya Pradesh","1429","575","0","2004","1511","644","0","2155"
"14","Maharashtra","38","36","0","74","23","24","0","47","16","12","0","28","14","Maharashtra","15","6","0","21","92","78","0","170","512","172","0","684","14","Maharashtra","597","193","0","790","335","64","0","399","129","57","0","186","14","Maharashtra","1573","486","0","2059","1665","564","0","2229"
"15","Manipur","0","1","0","1","0","0","0","0","1","0","0","1","15","Manipur","0","0","0","0","1","1","0","2","12","3","0","15","15","Manipur","20","2","0","22","7","3","0","10","0","0","0","0","15","Manipur","39","8","0","47","40","9","0","49"
"16","Meghalaya","0","0","0","0","1","1","0","2","0","1","0","1","16","Meghalaya","0","0","0","0","1","2","0","3","26","4","0","30","16","Meghalaya","25","2","0","27","16","1","0","17","2","0","0","2","16","Meghalaya","69","7","0","76","70","9","0","79"
"17","Mizoram","0","0","0","0","0","0","0","0","0","0","0","0","17","Mizoram","0","0","0","0","0","0","0","0","3","2","0","5","17","Mizoram","10","4","0","14","6","3","0","9","0","0","0","0","17","Mizoram","19","9","0","28","19","9","0","28"
"18","Nagaland","1","1","0","2","0","0","0","0","0","2","0","2","18","Nagaland","0","1","0","1","1","4","0","5","3","3","0","6","18","Nagaland","7","2","0","9","3","2","0","5","0","0","0","0","18","Nagaland","13","7","0","20","14","11","0","25"
"19","Odisha","0","0","0","0","0","0","0","0","1","4","0","5","19","Odisha","0","7","0","7","1","11","0","12","527","366","0","893","19","Odisha","232","165","0","397","99","52","0","151","13","4","0","17","19","Odisha","871","587","0","1458","872","598","0","1470"
"20","Punjab","4","10","0","14","5","4","0","9","7","3","0","10","20","Punjab","9","2","0","11","25","19","0","44","195","53","0","248","20","Punjab","256","73","0","329","165","23","0","188","60","13","0","73","20","Punjab","676","162","0","838","701","181","0","882"
"21","Rajasthan","5","5","0","10","12","5","0","17","3","4","0","7","21","Rajasthan","7","4","0","11","27","18","0","45","437","122","0","559","21","Rajasthan","627","134","0","761","315","59","0","374","5","1","0","6","21","Rajasthan","1384","316","0","1700","1411","334","0","1745"
"22","Sikkim","0","0","0","0","0","0","0","0","0","0","0","0","22","Sikkim","0","0","0","0","0","0","0","0","2","2","0","4","22","Sikkim","2","1","0","3","2","1","0","3","1","0","0","1","22","Sikkim","7","4","0","11","7","4","0","11"
"23","Tamil Nadu","18","31","0","49","13","15","0","28","5","6","0","11","23","Tamil Nadu","10","5","0","15","46","57","0","103","395","91","0","486","23","Tamil Nadu","477","132","2","611","273","84","1","358","114","69","0","183","23","Tamil Nadu","1259","376","3","1638","1305","433","3","1741"
"24","Telangana","12","8","0","20","6","6","0","12","1","4","0","5","24","Telangana","2","1","0","3","21","19","0","40","163","93","0","256","24","Telangana","257","98","0","355","96","30","0","126","29","21","0","50","24","Telangana","545","242","0","787","566","261","0","827"
"25","Tripura","2","2","0","4","1","0","0","1","1","0","0","1","25","Tripura","1","0","0","1","5","2","0","7","8","21","0","29","25","Tripura","25","24","0","49","19","8","0","27","1","1","0","2","25","Tripura","53","54","0","107","58","56","0","114"
"26","Uttar Pradesh","14","31","0","45","34","32","0","66","47","58","0","105","26","Uttar Pradesh","45","28","0","73","140","149","0","289","1201","365","0","1566","26","Uttar Pradesh","1023","302","0","1325","550","110","0","660","78","21","0","99","26","Uttar Pradesh","2852","798","0","3650","2992","947","0","3939"
"27","Uttarakhand","1","0","0","1","2","0","0","2","3","0","0","3","27","Uttarakhand","2","0","0","2","8","0","0","8","42","10","0","52","27","Uttarakhand","53","14","0","67","27","7","0","34","0","0","0","0","27","Uttarakhand","122","31","0","153","130","31","0","161"
"28","West Bengal","10","11","0","21","6","7","0","13","7","6","0","13","28","West Bengal","7","15","0","22","30","39","0","69","354","459","0","813","28","West Bengal","515","316","0","831","168","88","0","256","8","5","0","13","28","West Bengal","1045","868","0","1913","1075","907","0","1982"
